TLB experiment
  page size = 4096 bytes 
  max pages = 4096
  total number of references = 10 Mi
#pages	 proc	 sum
4	 0.029372	 10485760
8	 0.025814	 10485760
16	 0.032371	 10485760
32	 0.031353	 10485760
64	 0.033374	 10485760
128	 0.042582	 10485760
256	 0.035519	 10485760
512	 0.102242	 10485760
1024	 0.150546	 10485760
2048	 0.225533	 10485760
4096	 0.203629	 10485760
