0 0
8 1
16 0
24 5
32 0
40 3
48 0
56 0
64 1
72 2
80 1
88 3
96 5
104 1
112 1
120 4
128 1
136 0
144 0
152 0
160 1
168 1
176 0
184 0
192 0
200 1
208 0
216 0
224 1
232 2
240 2
248 1
256 0
264 1
272 0
280 0
288 0
296 0
304 0
312 0
320 0
328 0
336 1
344 0
352 0
360 0
368 0
376 0
384 0
392 0
400 0
408 0
416 0
424 0
432 0
440 0
448 0
456 0
464 1
472 0
480 0
488 0
496 2
504 0
512 0
520 2
528 1
536 0
544 0
552 0
560 0
568 0
576 0
584 0
592 0
600 0
608 0
616 0
624 0
632 0
640 0
648 0
656 0
664 0
672 0
680 0
688 0
696 0
704 0
712 0
720 0
728 0
736 0
744 0
752 0
760 0
768 0
776 0
784 0
792 0
